"TITRE de l'article";"DATE";"ID";"Collégien";"lycéen";"étudiant";"jeune diplômé";"parent";"équipe éducative et professionnels accompagnants";"métier";"formation/Etudes";"emploi";"agenda-événement";"procédure d’orientation";"handicap";"national";"régional";"académique";"multi-site";"international""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Les 3 épreuves écrites décryptées";"42705";"878077, 881743";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Le brevet : comment s&apos;y préparer ?";"42887";"878071, 782228";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Orientation au collège";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Quel métier voudriez-vous faire plus tard ?";"42491";"853010, 856683";"1";"";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";"";
"Le calendrier de l&apos;orientation post-3e";"42856";"858890, 862588";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Orientation post-3e : tout savoir sur la procédure d&apos;affectation en lycée";"42856";"853014, 856687";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Inscription au lycée : réussir son orientation post-3e";"42826";"853015, 856688";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Inscription en CFA : mode d&apos;emploi";"42795";"853021, 856694";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Collégiens à besoins spécifiques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L&apos;enseignement adapté : Segpa, Erea";"42522";"853022, 856695";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Les internats de la réussite (ex internats d&apos;excellence)";"42522";"853017, 856690";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"";"";"";"";"";
"L&apos;accueil des nouveaux arrivants en France";"42522";"853023, 856696";"1";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Les ateliers, classes et internats relais";"42491";"853023, 856696";"1";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Les élèves intellectuellement précoces";"42826";"936566, 437764";"2";"";"";"";"1";"1";"";"";"";"";"1";"";"X";"";"";"";"";
"Les élèves en situation de handicap au collège";"42491";"853040, 856714";"2";"";"";"";"1";"1";"";"";"";"";"1";"1";"X";"";"";"";"";
"Téléchargez le guide gratuit Onisep &quot;Après la 2de générale et technologique&quot;,&#10; rentrée 2017";"42795";"577034, 831143";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Où s&apos;informer ? ";"41944";"433929, 437766";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"FAQ";"42064";"903578, 907218";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Que faire après la 3e (PIF)";"42644";"853013, 856686";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Schéma des études après un CAP";"42005";"453801, 457792";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Procédure admission post bac";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Admission Post Bac : tout savoir sur la procédure 2017 (dossier)";"";"557948, 486704";"";"1";"2";"";"3";"3";"";"";"";"";"1";"";"X";"";"";"";
"APB : calendrier des admissions post bac session 2017";"42736";"624674, 831109";"";"1";"2";"";"3";"3";"";"";"";"1";"";"";"X";"";"";"";
"Admission Post Bac, qui est concerné ?";"42675";"563837, 486707";"";"1";"2";"";"3";"3";"";"";"";"";"";"";"X";"";"";"";
"Quelles formations sont gérées par APB ?";"42736";"563838, 486709";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"APB : la procédure complémentaire";"42767";"625453, 632724";"";"1";"2";"";"";"";"";"";"";"";"1";"";"X";"";"";"";
"Procédure APB : le recrutement dans les filières sélectives";"42614";"675438, 831110";"";"";"";"";"";"3";"";"";"";"";"1";"";"X";"";"";"";
"Procédure APB : les étapes décryptées";"42675";"563839, 486710";"";"1";"2";"";"3";"3";"";"";"";"";"1";"";"X";"";"";"";
"Formuler ses voeux sur APB : les réponses à vos questions (FAQ)";"42767";"694895, 831112";"";"1";"2";"";"3";"3";"";"";"";"";"1";"";"X";"";"";"";
"Les formations hors Admission post-bac (dossier)";"";"790380, 798831";"";"1";"2";"";"4";"3";"";"2";"";"";"1";"";"X";"";"";"";
"S&apos;inscrire dans une école du social";"42767";"790650, 831118";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Hors APB : le point sur les écoles de commerce après le bac";"42856";"488255, 831117";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Ecoles paramédicales : les inscriptions sont ouvertes";"42767";"790657, 831119";"";"1";"2";"";"3";"3";"";"3";"";"2";"1";"";"x";"";"";"";
"APB/Hors APB : le point sur les écoles d&apos;ingénieurs";"42767";"790658, 831120";"";"1";"2";"";"3";"3";"";"3";"";"2";"1";"";"XX";"";"";"";
"Inscriptions en art : mode d&apos;emploi";"42767";"813239, 820791";"";"1";"2";"";"3";"3";"";"3";"";"";"1";"";"X";"";"";"";
"Université : les inscriptions hors APB";"42795";"783265, 791716";"";"1";"2";"";"3";"3";"";"3";"";"";"1";"";"X";"";"";"";
"Mon coach apb";"42795";"613220, 831113";"";"1";"2";"";"3";"3";"";"";"";"";"1";"";"X";"";"";"";
"Au lycée générale et technologique";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"La classe de seconde générale et technologique (dossier)";"";"434257, 438095";"1";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Le programme de la seconde générale et technologique ";"42675";"434415, 438284";"1";"1";"";"";"2";"2";"";"";"";"";"1";"";"x";"";"";"";
"Le calendrier de l&apos;orientation en classe de 2de";"42522";"604248, 611154";"";"1";"";"";"2";"2";"";"";"";"1";"1";"";"X";"";"";"";
"Choisir sa série de bac après la seconde";"42125";"481802, 831058";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Les enseignements d&apos;exploration de seconde (Dossier)";"42795";"434257,  438095)";"1";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Organisation des enseignements d&apos;exploration";"42795";"878291, 881982";"1";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Quels sont les enseignements d&apos;exploration de seconde ?";"42795";"434420, 438289";"1";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"L&apos;économie en seconde : choisir son enseignement d&apos;exploration";"42795";"773882, 831079";"1";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Choisir Biotechnologies ou Sciences et laboratoire ?";"42795";"709823, 717913";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Choisir &quot;création et innovation technologiques&quot; ou &quot;sciences de l&apos;ingénieur&quot; ?";"42795";"782953, 831082";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Enseignement d&apos;exploration en 2de : pourquoi choisir &quot;Santé et social&quot; ?";"42795";"774795, 711248";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
"Sciences économiques et sociales";"42795";"659278, 831070";"1";"1";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";
